Designator,Mid X,Mid Y,Layer,Rotation
BOOT,51.308,53.34,Top,R270
C1,58.928,54.61,Top,R180
C2,57.15,49.53,Top,R270
C3,70.358,3.81,Top,R180
C4,77.978,3.81,Top,R180
C5,62.738,3.81,Top,R180
C6,88.138,36.83,Top,R180
C7,26.67,46.99,Top,R180
C8,85.598,3.556,Top,R180
C9,79.248,36.7538,Top,R90
C10,37.592,47.752,Top,R0
C11,27.686,54.864,Top,R270
C12,16.9418,33.7058,Top,R0
C13,16.129,25.1206,Top,R90
C14,14.49,26.924,Top,R180
C15,18.5674,30.48,Top,R90
C16,56.388,18.288,Top,R90
C17,8.89,10.16,Top,R270
C18,38.1,29.972,Top,R270
C19,36.322,29.21,Top,R270
C20,33.782,27.94,Top,R0
C21,25.4,24.384,Top,R0
C23,74.168,32.512,Top,R0
D1,37.592,50.546,Top,R0
IC1,60.198,22.86,Top,R180
IC2,21.844,55.88,Top,R90
IC3,33.02,30.48,Top,R0
LED0,62.738,15.494,Top,R0
LED1,70.358,15.494,Top,R0
LED2,77.978,15.494,Top,R0
LED3,64.77,22.86,Top,R90
LED4,69.0626,36.7284,Top,R270
ON,44.958,53.34,Top,R270
Q1,66.548,49.022,Top,R0
Q2,8.128,44.45,Top,R0
Q3,66.548,55.88,Top,R180
Q4,11.43,44.45,Top,R0
Q5,14.732,44.45,Top,R0
Q6,60.452,49.53,Top,R270
Q7,18.034,44.45,Top,R0
R1,55.118,49.53,Top,R270
R2,50.546,11.43,Top,R0
R3,62.738,52.324,Top,R270
R4,58.928,57.15,Top,R180
R5,53.34,25.4,Top,R270
R6,18.415,50.8,Top,R180
R7,18.415,49.53,Top,R180
R8,9.906,17.78,Top,R180
R9,18.415,52.07,Top,R180
R10,18.415,48.26,Top,R180
R11,53.34,21.336,Top,R270
R12,51.562,23.368,Top,R180
R13,55.118,3.81,Top,R0
R14,55.118,6.35,Top,R0
R15,55.118,2.54,Top,R0
R16,55.118,5.08,Top,R0
R17,55.118,10.16,Top,R0
R18,55.118,8.89,Top,R0
R19,55.118,7.62,Top,R0
R20,66.04,22.86,Top,R90
R21,69.0626,39.5224,Top,R90
R22,5.7432,13.589,Top,R90
R23,4.318,13.589,Top,R90
SW0,62.738,8.89,Top,R90
SW1,70.358,8.89,Top,R90
SW2,77.978,8.89,Top,R90
SW3,85.598,8.89,Top,R90
U$9,75.438,38.1,Top,R270
U1,15.24,30.48,Top,R0
